,tweet,class
0,woman shouldnt complain cleaning house man always take trash,2
1,boy dats coldtyga dwn bad cuffin dat hoe place,1
2,dawg ever fuck bitch stato cry confused shit,1
3,look like tranny,1
4,shit hear might true might faker bitch told ya,1
5,shit blows meclaim faithful somebody still fucking hoes,1
6,sit hate another bitch got much shit going,1
7,cause im tired big bitches coming us skinny girls,1
8,might get ya bitch back thats,1
9,hobbies include fighting mariam bitch,1
10,keeks bitch curves everyone lol walked conversation like smh,1
11,murda gang bitch gang land,1
12,hoes smoke losers yea go ig,1
13,bad bitches thing like,1
14,bitch get,1
15,bitch nigga miss,1
16,bitch plz whatever,1
17,bitch love,1
18,bitches get cut everyday b,1
19,black bottle bad bitch,1
20,broke bitch cant tell nothing,1
21,cancel bitch like nino,1
22,cant see hoes wont change,1
23,fuck bitch dont even suck dick kermit videos bout fuck ig,1
24,got ya bitch tip toeing hardwood floors,1
25,pussy lips like heaven doors,1
26,hoe hitting,1
27,met pussy ocean dr gave pussy pill,1
28,need trippy bitch fuck hennessy,1
29,spend money want bitch business,1
30,txt old bitch new bitch pussy wetter,1
31,id say im back old old bitches would get excited,1
32,aint bout murder game pussy nigga shut,1
33,youre toes aint done pussy stinks,1
34,im done bitter bitches wrap angry bird theres app,1
35,ya bitch,1
36,aint nothing cut bitch,1
37,jus meet son ya mane ass bitches shots,1
38,lames crying hoes thats tears clown,1
39,like snoop said dont love hoes,1
40,momma said pussy cats inside doghouse,2
41,hated hoes favorite sevenone,1
42,nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick,1
43,pimps pimps hoes future voice,1
44,post picture pussy get likes,1
45,pussy powerful drug happyhumpday,1
46,quick piece pussy call drive,1
47,running round like brand new pussy thats bout get fucked,1
48,bitches even worst theyll send guys,1
49,hoes like niggas spend money talk bout,1
50,dont trust niggas bitches,1
51,yall niggas b cuffing hoes cause yall aint never bitches,1
52,dodge bullet da bitches cut pregnant bound thank god,1
53,young pill chamberlain bitches love music,1
54,teanna trump probably cleaner twitter hoes,1
55,gay niggas couldnt wait act like bitches tonight,1
56,ima steal cat n replace pitbull bitch,1
57,hes gone always hoe,1
58,son bitch took tic tacs like movie,1
59,wan na get money fuck model bitches russell simmons,1
60,probably mind school much deal bitch ass teachers retweet,1
61,im fucking fag said,1
62,females think dating pussy cute stuff make pussy,1
63,simplyaddictedtoguys woof woof hot scally lad,2
64,ya ever asked bitch bitches kanye voice yes,1
65,u gone bring ur side bitch game know ya gf friends swear,1
66,woof woof hot soles,2
67,lemmie eat oreo dishes one oreo lol,2
68,bitch fuck u maybe youll get better,1
69,fuck red malone man bitch ass niggah could please use complete sentences,1
70,eggplant emoji doey say looked like scream lmao,2
71,hennessey venom gt thats one sexy bitch,1
72,seh pussy wetter shower curtain ahmesehwetnesslmao,1
73,eaglesnation every eagles need see pic posted bitch said racist shit,1
74,yo fuck skateboarding yall wood pushing faggots man ball life,1
75,baby monkey bathtime awwwwe soooo adorable,2
76,aint shit damn skippy lol,1
77,u ever kill ant sidewalk think damn nigga way get pussyno bs must b,1
78,rings mvps bitches lol,1
79,ppl talk bad ghettohood kid growing nigga funnnnnnn,1
80,facts tattoostattoo hes pussy tattooing nipples,1
81,bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches,1
82,get worshiping bitch woof woof,1
83,wow im lost buttcheek piercings yeah shes hoe,1
84,ok sis shed rather broke bitch shrugs shell tell works,1
85,queer gaywad,0
87,faggot read tweets dat k wasnt even funny lol,1
88,bitch ungrateful fr lulwhore,1
89,kidnapped yo bitch,1
90,alsarabsss hes beaner smh tell hes mexican,0
91,happy birthday nigs thanks yo,1
92,ur teacher tells u u homework bitch need go,1
93,nigga eating hoe lol hell yea lol john paul nigga said john paul,1
94,would yall lil ugly bald headed bitches stop making makeup weave,1
95,leafs better win damn game go riot shit earlychristmas better stalooting nig,1
96,going back school sucks dick hoes attend,1
97,way fuck yo bitch year old,1
98,come never bring food dont car retard,1
99,richnow doesnt show hella tinder hoes im friend anymore chill brought like like prople,1
100,bout cowboys shutup pussy,1
101,lmaooooooooooo nigga bitch want likes depressing shitfoh,1
102,girl know spitting g shit going lbvsbitch plz,1
103,let make couple tweets cuzzo page wont get twitter jaillmao bitch dont trick,1
104,harlem shake excuse go full retard seconds,1
105,amen miley dont need act like hoe bc shes emotionally damaged foh,1
106,one loyal female wayyyyy better hoes idc,1
107,pussy licking pussy meow meow,1
108,check man cowboysnation even faggot ny fans stands,1
109,happen vixen ent bitches got ran threw side like foothill bitch,1
110,im bitch okay nudes pat wow,1
111,youre fucking gay blacklisted hoe holding tehgodclan anyway,0
112,fuck wrong bitches nobody knows,1
113,yall shut upp make bitch,1
114,hate im pregnant type bitch,1
115,got bitches dm dont ever readem top,1
116,baseball season win yankees love started,2
117,little stupid bitch dont fuck yoooooouuuu,1
118,really asked dead ass serious tho could say bitch wheet lol,1
119,im early bird im night owl im wise worms,2
120,overdosing heavy drugs doesnt sound bad tonight pussy shit every day,2
121,pit bulls photographed lovely fairy tale creatures fairy tale creatures,2
122,aw fag dont tweet aw lol,1
123,long lakers trash could careless thats real cc hahaha,2
124,didnt say anything tho kiss faggot,1
125,play soccer cheat girls wear khaki coloured cargos haircut yup,2
126,could go fat ass bitch lap,1
127,missed calls yo po bitch twitter finna screamn freemoneymelle,1
128,ya side bitch got ta know rules shitanybody ask cousin jersey thinkin bout moving lmmfao,1
129,amo los pies fuck yeah,1
130,hoes thinking meat wont slap ass ainna bruh,1
131,yall bitches wit edges talking,1
